Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2024,Qcont4calcPrior,Qcf2024,Qcfp,Qboth,Q4calcsall,JURISDICTI3,PERCENTAGE,area_acres,Acres,DischargePCF2,DischargePCF3,avgCnx,Persistent.Flow,MonitoringYear,rain_gage,dry_days,Qadj_Qall
I00-11518-2,0.0048,LAGUNA BEACH,NA,NA,0.0033119999999999994,0.0033119999999999994,286.1568,NA,NA,NA,NA,NA,286.1568,LAGUNA BEACH,97.24533026,782.41333526,759.5615201,278.27412522144766,278.27412522144766,0.5,Unknown,MY2023-24,LAGUNABEACH,288,40071.474031888465
I00-11518-2,0.0048,LAGUNA BEACH,NA,NA,0.0033119999999999994,0.0033119999999999994,286.1568,NA,NA,NA,NA,NA,286.1568,ORANGE CO,2.754669739,782.41333526,21.51610909,7.882674775690751,7.882674775690751,0.5,Unknown,MY2023-24,LAGUNABEACH,288,1135.1051676994682
I01-11010-1,0.043362,LAGUNA BEACH,NA,0.005,0.029919779999999997,0.005,432,NA,NA,NA,NA,NA,432,LAGUNA BEACH,100,12.1490758,12.16319583,432,432,0.885,Yes,MY2023-24,LAGUNABEACH,288,110108.16
I01-11023-1,0.002155,LAGUNA BEACH,NA,NA,0.0014869499999999997,0.0014869499999999997,128.47247999999996,NA,NA,NA,NA,NA,128.47247999999996,LAGUNA BEACH,33.40107474,4.24010907,1.417887999,42.91118906513154,42.91118906513154,1,Unknown,MY2023-24,LAGUNABEACH,288,12358.422450757884
I01-11023-1,0.002155,LAGUNA BEACH,NA,NA,0.0014869499999999997,0.0014869499999999997,128.47247999999996,NA,NA,NA,NA,NA,128.47247999999996,ORANGE CO,66.59891828,4.24010907,2.924972976,85.56128196748932,85.56128196748932,1,Unknown,MY2023-24,LAGUNABEACH,288,24641.649206636925
I01-11023-2,1.87e-4,LAGUNA BEACH,NA,4.484999999999999e-6,1.2902999999999998e-4,4.484999999999999e-6,0.387504,NA,NA,NA,NA,NA,0.387504,LAGUNA BEACH,100,16.81555601,16.83509957,0.387504,0.387504,1,Unknown,MY2023-24,LAGUNABEACH,288,111.601152
I01-11059-1,0.002142,LAGUNA BEACH,NA,0.010349999999999998,0.0014779799999999998,0.010349999999999998,894.2399999999998,NA,NA,NA,NA,NA,894.2399999999998,LAGUNA BEACH,99.99999976,282.44365092,282.771915,894.2399978538238,894.2399978538238,0.5,Unknown,MY2023-24,LAGUNABEACH,288,128770.55969095061
I01-11195-2,0.325428,ALISO VIEJO,NA,NA,0.22454532,0.22454532,19400.715648,NA,NA,NA,NA,NA,19400.715648,ALISO VIEJO,67.55201652,893.93958748,571.7296731,13105.574639535185,13105.574639535185,0.77,Yes,MY2023-24,LAGUNABEACH,288,2906292.232063323
I01-11195-2,0.325428,ALISO VIEJO,NA,NA,0.22454532,0.22454532,19400.715648,NA,NA,NA,NA,NA,19400.715648,LAGUNA BEACH,9.021195665,893.93958748,76.35131436,1750.1765190163528,1750.1765190163528,0.77,Yes,MY2023-24,LAGUNABEACH,288,388119.1448570664
I01-11195-2,0.325428,ALISO VIEJO,NA,NA,0.22454532,0.22454532,19400.715648,NA,NA,NA,NA,NA,19400.715648,LAGUNA WOODS,23.42678782,893.93958748,198.2737219,4544.964490418499,4544.964490418499,0.77,Yes,MY2023-24,LAGUNABEACH,288,1007891.3253952062
I01-11216-1 (I02P13),NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,ALISO VIEJO,85.52948144,231.31390007,203.5235098,NA,843.2462199026123,0.885,Yes,MY2023-24,ELTORO,294,219404.2339564607
I01-11216-1 (I02P13),NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,LAGUNA WOODS,12.7806056,231.31390007,68.62496037,NA,1894.6263962585272,0.885,Yes,MY2023-24,ELTORO,294,492962.8420425062
I01-11216-2 (I02P12),NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,ALISO VIEJO,92.98237594,211.60097976,187.1986062,NA,843.2462199026123,0.5,Yes,MY2023-24,ELTORO,294,123957.19432568402
I01-11216-2 (I02P12),NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,LAGUNA WOODS,7.017624059,211.60097976,14.12837034,NA,1894.6263962585272,0.5,Yes,MY2023-24,ELTORO,294,278510.0802500035
I01-11216-3,NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,ALISO VIEJO,27.53095221,4.87418855,1.380449649,NA,843.2462199026123,0.77,Yes,MY2023-24,ELTORO,294,190894.0792615534
I01-11216-3,NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,LAGUNA WOODS,72.46900588,4.87418855,8.199428271,NA,1894.6263962585272,0.77,Yes,MY2023-24,ELTORO,294,428905.5235850054
I01-11216-4 (I02P14),NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,ALISO VIEJO,100,66.5562155,68.46768322,NA,843.2462199026123,0,Yes,MY2023-24,ELTORO,294,0
I01-11217-1,0.001777,ALISO VIEJO,NA,NA,0.0012261299999999998,0.0012261299999999998,105.93763199999998,NA,NA,NA,NA,NA,105.93763199999998,ALISO VIEJO,100,35.66443538,36.68870361,105.93763199999998,105.93763199999998,0,Yes,MY2023-24,ELTORO,294,0
I01-11343-2 (I02P18),0.007131,LAGUNA WOODS,NA,NA,0.00492039,0.00492039,425.12169600000004,NA,NA,NA,NA,NA,425.12169600000004,LAGUNA WOODS,98.79491313,46.81104081,107.3524162,419.99861025998274,419.99861025998274,0.5,Unknown,MY2023-24,ELTORO,294,61739.79570821746
I01-11487-2,0.008737,LAGUNA BEACH,NA,0.00414,0.00602853,0.00414,357.69599999999997,NA,NA,NA,NA,NA,357.69599999999997,LAGUNA BEACH,100.0000001,134.7247304,134.8813118,357.69600035769594,357.69600035769594,0.25,Unknown,MY2023-24,LAGUNABEACH,288,25754.112025754108
I01-11502-1,NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,LAGUNA BEACH,94.54079859,25.92502892,24.53821534,NA,501.75513525885066,0.635,Yes,MY2023-24,LAGUNABEACH,288,91760.9791361386
I01-11502-1,NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,LAGUNA WOODS,5.45919891,25.92502892,3.28531571,NA,1894.6263962585272,0.635,Yes,MY2023-24,LAGUNABEACH,288,346489.2753477594
I01-11503-5,NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,LAGUNA BEACH,100,27.07885653,27.07874871,NA,501.75513525885066,0.5,Yes,MY2023-24,LAGUNABEACH,288,72252.73947727449
J01-10004-1 (J01P01),0.299355,LAKE FOREST,NA,0.102583335,0.20655494999999996,0.102583335,8863.200144,0.035,NA,3024,NA,NA,3024,LAKE FOREST,97.22901103,479.88775953,1506.373175,2940.2052935471997,2940.2052935471997,1,Yes,MY2023-24,ELTORO,294,864420.3563028767
J01-10004-2,7.54e-4,LAKE FOREST,NA,NA,5.202599999999999e-4,5.202599999999999e-4,44.950464,NA,NA,NA,NA,NA,44.950464,LAKE FOREST,100,11.76218814,37.97389578,44.95046399999999,44.95046399999999,0.77,Unknown,MY2023-24,ELTORO,294,10175.886040319998
J01-10017-1 (J01TBN4),0.017361,ALISO VIEJO,NA,0.001,0.01197909,0.001,86.39999999999999,0.036,NA,3110.3999999999996,NA,NA,3110.3999999999996,ALISO VIEJO,100,17.42256719,17.92293631,3110.3999999999996,3110.3999999999996,0,Yes,MY2023-24,SULPHURCREEK,287,0
J01-10019-1 (J01P33),0.007265,ALISO VIEJO,NA,NA,0.005012849999999999,0.005012849999999999,433.1102399999999,NA,0.017,NA,1468.8000000000002,NA,1468.8000000000002,ALISO VIEJO,100,72.93906351,75.03384406,1468.8000000000002,1468.8000000000002,0.77,Yes,MY2023-24,SULPHURCREEK,287,324590.1120000001
J01-10041-2 (J03P13),2.4525,LAGUNA NIGUEL,NA,NA,1.6922249999999999,1.6922249999999999,146208.24,NA,NA,NA,NA,NA,146208.24,LAGUNA HILLS,0.009690605,374.69432682,0.044153567,14.168463015851998,14.168463015851998,0.77,Yes,MY2023-24,SULPHURCREEK,287,3131.0886418731334
J01-10041-2 (J03P13),2.4525,LAGUNA NIGUEL,NA,NA,1.6922249999999999,1.6922249999999999,146208.24,NA,NA,NA,NA,NA,146208.24,LAGUNA NIGUEL,99.9903098,374.69432682,374.6646232,146194.0721291275,146194.0721291275,0.77,Yes,MY2023-24,SULPHURCREEK,287,32307427.99981589
J01-9005-1 (J03P05),0.033399,LAGUNA NIGUEL,NA,0.017205489999999997,0.023045309999999996,0.017205489999999997,1486.5543359999997,0.063,NA,5443.200000000001,NA,NA,5443.200000000001,LAGUNA NIGUEL,100,127.79044152,127.7926944,5443.200000000001,5443.200000000001,1,Yes,MY2023-24,SULPHURCREEK,287,1562198.4000000001
J01-9005-3,0.303774,LAGUNA NIGUEL,NA,NA,0.20960405999999998,0.20960405999999998,18109.790783999997,NA,0.834,NA,72057.6,NA,72057.6,LAGUNA HILLS,1.384801424,201.89063791,3.399706881,997.854670900224,997.854670900224,1,Yes,MY2023-24,SULPHURCREEK,287,286384.2905483643
J01-9005-3,0.303774,LAGUNA NIGUEL,NA,NA,0.20960405999999998,0.20960405999999998,18109.790783999997,NA,0.834,NA,72057.6,NA,72057.6,LAGUNA NIGUEL,98.6151983,201.89063791,199.0983629,71059.7451302208,71059.7451302208,1,Yes,MY2023-24,SULPHURCREEK,287,20394146.852373373
J01-9007-1 (J02P05),0.092367,ALISO VIEJO,NA,0.0075,0.06373323,0.0075,647.9999999999999,0.026,NA,2246.3999999999996,NA,NA,2246.3999999999996,ALISO VIEJO,98.19424307,145.61257767,147.0895875,2205.8354763244797,2205.8354763244797,0.885,Yes,MY2023-24,SULPHURCREEK,287,560271.1818090362
J01-9007-1 (J02P05),0.092367,ALISO VIEJO,NA,0.0075,0.06373323,0.0075,647.9999999999999,0.026,NA,2246.3999999999996,NA,NA,2246.3999999999996,ORANGE CO,1.805757306,145.61257767,2.629421282,40.564532121983994,40.564532121983994,0.885,Yes,MY2023-24,SULPHURCREEK,287,10303.188336323325
J01-9008-1 (J01P30),0.07146,ALISO VIEJO,NA,0.0430875,0.049307399999999994,0.0430875,3722.76,NA,0.051,NA,4406.4,NA,4406.4,ALISO VIEJO,100,211.57209037,217.6483557,4406.4,4406.4,0.7,Yes,MY2023-24,SULPHURCREEK,287,885245.7599999998
J01-9031-1,0.037166,LAKE FOREST,NA,NA,0.025644539999999997,0.025644539999999997,2215.688256,NA,NA,NA,NA,NA,2215.688256,LAKE FOREST,91.74566749,298.95942316,885.5128015,2032.7979799647399,2032.7979799647399,1,Yes,MY2023-24,TUCKER,287,583413.0202498804
J01-9040-1,0.290204,LAKE FOREST,NA,0.0276,0.20024076,0.0276,2384.64,NA,NA,NA,NA,NA,2384.64,LAKE FOREST,99.97855453,146.1265793,471.6644063,2384.128602744192,2384.128602744192,0.75,Yes,MY2023-24,TUCKER,287,513183.68174068735
J01-9040-1,0.290204,LAKE FOREST,NA,0.0276,0.20024076,0.0276,2384.64,NA,NA,NA,NA,NA,2384.64,ORANGE CO,0.021445596,146.1265793,0.053260413,0.5114002604544,0.5114002604544,0.75,Yes,MY2023-24,TUCKER,287,110.07890606280961
J01-9046-1,0.00431,LAKE FOREST,NA,6.9e-4,0.0029738999999999994,6.9e-4,59.616,0.003,NA,259.2,NA,NA,259.2,LAKE FOREST,100,65.72077069,212.177672,259.2,259.2,0.5,Unknown,MY2023-24,ELTORO,294,38102.4
J01-9046-3,0.004993,LAKE FOREST,NA,NA,0.0034451699999999996,0.0034451699999999996,297.662688,NA,NA,NA,NA,NA,297.662688,LAKE FOREST,100,15.52791748,50.13144774,297.662688,297.662688,0.77,Yes,MY2023-24,ELTORO,294,67384.87930944
J01-9066-1 (J01P04),0.015364,MISSION VIEJO,NA,0.002,0.010601159999999998,0.002,172.79999999999998,NA,0.005,NA,432,NA,432,LAKE FOREST,2.845060742,82.12170635,7.543042247,12.290662405439997,12.290662405439997,1,Yes,MY2023-24,ELTORO,294,3613.454747199359
J01-9066-1 (J01P04),0.015364,MISSION VIEJO,NA,0.002,0.010601159999999998,0.002,172.79999999999998,NA,0.005,NA,432,NA,432,MISSION VIEJO,97.15493782,82.12170635,79.7857395,419.70933138239997,419.70933138239997,1,Yes,MY2023-24,ELTORO,294,123394.54342642559
J01-9066-2 (J01P03),0.085018,MISSION VIEJO,NA,0.066,0.05866241999999999,0.066,5702.4,NA,0.1985,NA,17150.4,NA,17150.4,LAKE FOREST,0.818376545,420.34930926,11.10607353,140.35485097368002,140.35485097368002,1,Yes,MY2023-24,ELTORO,294,41264.326186261926
J01-9066-2 (J01P03),0.085018,MISSION VIEJO,NA,0.066,0.05866241999999999,0.066,5702.4,NA,0.1985,NA,17150.4,NA,17150.4,MISSION VIEJO,99.18162349,420.34930926,416.9116038,17010.04515502896,17010.04515502896,1,Yes,MY2023-24,ELTORO,294,5000953.275578515
J01-9082-2,0.162521,ALISO VIEJO,NA,0.062,0.11213949,0.062,5356.799999999999,0.048,NA,4147.2,NA,NA,4147.2,ALISO VIEJO,97.84740395,124.66076066,125.4804575,4057.9275366143997,4057.9275366143997,0.885,Yes,MY2023-24,SULPHURCREEK,287,1030693.3046623744
J01-9082-2,0.162521,ALISO VIEJO,NA,0.062,0.11213949,0.062,5356.799999999999,0.048,NA,4147.2,NA,NA,4147.2,ORANGE CO,2.152595119,124.66076066,2.683453208,89.27242477516798,89.27242477516798,0.885,Yes,MY2023-24,SULPHURCREEK,287,22674.74953076879
J01-9082-4,0.02202,ALISO VIEJO,NA,0.006,0.0151938,0.006,518.4,0.015,NA,1295.9999999999998,NA,NA,1295.9999999999998,ALISO VIEJO,97.84740395,124.66076066,125.4804575,1268.1023551919998,1268.1023551919998,1,Yes,MY2023-24,SULPHURCREEK,287,363945.37594010396
J01-9082-4,0.02202,ALISO VIEJO,NA,0.006,0.0151938,0.006,518.4,0.015,NA,1295.9999999999998,NA,NA,1295.9999999999998,ORANGE CO,2.152595119,124.66076066,2.683453208,27.897632742239992,27.897632742239992,1,Yes,MY2023-24,SULPHURCREEK,287,8006.6205970228775
J01-9131-1 (J01P28),0.082706,ALISO VIEJO,NA,NA,0.057067139999999995,0.057067139999999995,4930.600896,0.036,NA,3110.3999999999996,NA,NA,3110.3999999999996,ALISO VIEJO,100,286.38606854,294.6109612,3110.3999999999996,3110.3999999999996,0.635,Yes,MY2023-24,SULPHURCREEK,287,566854.848
J01-9144-1 (J01P23),0.050193,LAGUNA NIGUEL,NA,0.002,0.03463317,0.002,172.79999999999998,0.005,NA,432,NA,NA,432,ALISO VIEJO,100,175.4581519,180.4972394,432,432,1,Yes,MY2023-24,SULPHURCREEK,287,123984
J01-9144-4 (J01P26),0.003827,ALISO VIEJO,NA,NA,0.0026406299999999997,0.0026406299999999997,228.15043199999997,NA,NA,NA,NA,NA,228.15043199999997,ALISO VIEJO,100,193.49295991,199.0499998,228.15043199999997,228.15043199999997,0,Unknown,MY2023-24,SULPHURCREEK,287,0
J01-9224-1 (J01P24),0.034237,LAGUNA NIGUEL,NA,0.0035,0.023623529999999997,0.0035,302.4,0.003,NA,259.2,NA,NA,259.2,ALISO VIEJO,1.638278647,222.46726525,3.749306117,4.246418253024,4.246418253024,0.75,Yes,MY2023-24,SULPHURCREEK,287,914.041528963416
J01-9224-1 (J01P24),0.034237,LAGUNA NIGUEL,NA,0.0035,0.023623529999999997,0.0035,302.4,0.003,NA,259.2,NA,NA,259.2,LAGUNA NIGUEL,98.36172091,222.46726525,218.8264883,254.95358059872,254.95358059872,0.75,Yes,MY2023-24,SULPHURCREEK,287,54878.75822387448
J01-9224-2 (J01P25),0.108437,LAGUNA NIGUEL,NA,0.03233333333333333,0.07482153,0.03233333333333333,2793.6,0.012,NA,1036.8,NA,NA,1036.8,ALISO VIEJO,1.638278647,222.46726525,3.749306117,16.985673012096,16.985673012096,1,Yes,MY2023-24,SULPHURCREEK,287,4874.888154471552
J01-9224-2 (J01P25),0.108437,LAGUNA NIGUEL,NA,0.03233333333333333,0.07482153,0.03233333333333333,2793.6,0.012,NA,1036.8,NA,NA,1036.8,LAGUNA NIGUEL,98.36172091,222.46726525,218.8264883,1019.81432239488,1019.81432239488,1,Yes,MY2023-24,SULPHURCREEK,287,292686.7105273306
J01-9259-3,0.00601,LAKE FOREST,NA,NA,0.004146899999999999,0.004146899999999999,358.29215999999997,NA,NA,NA,NA,NA,358.29215999999997,LAKE FOREST,99.99231896,140.75505759,454.3888664,358.26463943587356,358.26463943587356,0.77,Yes,MY2023-24,ELTORO,294,81103.94907549306
J01-9264-1 (J01P06),0,LAKE FOREST,NA,NA,0,0,0,0.076,NA,6566.4,NA,NA,6566.4,LAKE FOREST,92.08498047,680.93059513,2024.364351,6046.66815758208,6046.66815758208,1,Yes,MY2023-24,ELTORO,294,1777720.4383291316
J01-9273-1,0.002304,LAGUNA WOODS,NA,0.002,0.00158976,0.002,172.79999999999998,0.147,NA,12700.800000000001,NA,NA,12700.800000000001,LAGUNA HILLS,5.183103927,30.68945533,1.934269084,658.2956635604162,658.2956635604162,0.375,Yes,MY2023-24,ELTORO,294,72577.09690753589
J01-9273-1,0.002304,LAGUNA WOODS,NA,0.002,0.00158976,0.002,172.79999999999998,0.147,NA,12700.800000000001,NA,NA,12700.800000000001,LAGUNA WOODS,94.81689767,30.68945533,67.54665774,12042.50453927136,12042.50453927136,0.375,Yes,MY2023-24,ELTORO,294,1327686.1254546675
J01-9313-1,0.05,ALISO VIEJO,NA,NA,0.034499999999999996,0.034499999999999996,2980.7999999999997,NA,NA,NA,NA,NA,2980.7999999999997,ALISO VIEJO,99.21825221,137.37665275,140.2172729,2957.4976618756796,2957.4976618756796,0.77,Unknown,MY2023-24,SULPHURCREEK,287,653577.4082979064
J01-9313-1,0.05,ALISO VIEJO,NA,NA,0.034499999999999996,0.034499999999999996,2980.7999999999997,NA,NA,NA,NA,NA,2980.7999999999997,ORANGE CO,0.781746628,137.37665275,1.073942056,23.302303487424002,23.302303487424002,0.77,Unknown,MY2023-24,SULPHURCREEK,287,5149.57604768583
J01-9349-1,NA,LAKE FOREST,NA,NA,NA,NA,NA,0.001,NA,86.39999999999999,NA,NA,86.39999999999999,LAKE FOREST,99.85177608,69.7067491,224.7127195,86.27193453311999,86.27193453311999,1,Unknown,MY2023-24,ELTORO,294,25363.948752737277
J01-9349-1,NA,LAKE FOREST,NA,NA,NA,NA,NA,0.001,NA,86.39999999999999,NA,NA,86.39999999999999,MISSION VIEJO,0.14822366,69.7067491,0.103322473,0.12806524224,0.12806524224,1,Unknown,MY2023-24,ELTORO,294,37.65118121856
J01-9377-1,0.001816,LAKE FOREST,NA,0,0.0012530399999999998,0,0,NA,0.007,NA,604.8,NA,604.8,LAKE FOREST,98.07444602,34.4468196,109.0691746,593.1542495289599,593.1542495289599,0.25,Unknown,MY2023-24,ELTORO,294,43596.83734037855
J01-9377-1,0.001816,LAKE FOREST,NA,0,0.0012530399999999998,0,0,NA,0.007,NA,604.8,NA,604.8,MISSION VIEJO,1.925552671,34.4468196,0.663295369,11.645742554207997,11.645742554207997,0.25,Unknown,MY2023-24,ELTORO,294,855.9620777342877
J01-9782-1 (J01TBN3),0.001588,LAKE FOREST,NA,0.0036797699999999997,0.00109572,0.0036797699999999997,317.932128,NA,NA,NA,NA,NA,317.932128,LAKE FOREST,45.38061266,30.80686795,45.13515458,144.27954752937538,144.27954752937538,0,Yes,MY2023-24,ELTORO,294,0
J01-9782-1 (J01TBN3),0.001588,LAKE FOREST,NA,0.0036797699999999997,0.00109572,0.0036797699999999997,317.932128,NA,NA,NA,NA,NA,317.932128,MISSION VIEJO,54.6193895,30.80686795,16.82661742,173.65258733795855,173.65258733795855,0,Yes,MY2023-24,ELTORO,294,0
J01-9785-1,0.027279,LAKE FOREST,NA,0.16655150999999999,0.01882251,0.16655150999999999,14390.050464,NA,NA,NA,NA,NA,14390.050464,LAKE FOREST,100,21.25657462,68.62625727,14390.050463999998,14390.050463999998,1,Yes,MY2023-24,ELTORO,294,4230674.836416
J01-9992-1 (J01P27),0.159686,ALISO VIEJO,NA,0.035489325,0.11018333999999999,0.035489325,3066.27768,NA,0.009,NA,777.5999999999999,NA,777.5999999999999,ALISO VIEJO,99.70754793,553.84107572999994,568.0809311,775.32589270368,775.32589270368,1,Yes,MY2023-24,SULPHURCREEK,287,222518.53120595615
J01-9992-1 (J01P27),0.159686,ALISO VIEJO,NA,0.035489325,0.11018333999999999,0.035489325,3066.27768,NA,0.009,NA,777.5999999999999,NA,777.5999999999999,ORANGE CO,0.292452005,553.84107572999994,1.619726429,2.27410679088,2.27410679088,1,Yes,MY2023-24,SULPHURCREEK,287,652.66864898256
J03-9215-1,NA,LAGUNA NIGUEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,LAGUNA NIGUEL,100,65.12825351,65.12940169,NA,1708.6798342396598,1,Yes,MY2023-24,SULPHURCREEK,287,490391.1124267824
J03-9215-3,0.051159,LAGUNA NIGUEL,NA,0.010499999999999999,0.03529971,0.010499999999999999,907.1999999999999,0.034,NA,2937.6000000000004,NA,NA,2937.6000000000004,LAGUNA NIGUEL,100,155.28755892,155.2902966,2937.6000000000004,2937.6000000000004,1,Yes,MY2023-24,SULPHURCREEK,287,843091.2000000001
J03-9216-1 (J03P01),0.012897,LAGUNA NIGUEL,NA,NA,0.00889893,0.00889893,768.8675519999999,0.025,NA,2160,NA,NA,2160,LAGUNA NIGUEL,100,13.41168034,13.41191678,2160,2160,0.5,Yes,MY2023-24,SULPHURCREEK,287,309960
J03-9216-2,1.520455,LAGUNA NIGUEL,NA,0.5875161566666667,1.0491139499999997,0.5875161566666667,50761.395936,0.683,NA,59011.200000000004,NA,NA,59011.200000000004,LAGUNA NIGUEL,99.85072453,1123.28596907,1121.628952,58923.11075384736,58923.11075384736,0.9233333333333333,Yes,MY2023-24,SULPHURCREEK,287,15614427.939400371
J03-9216-2,1.520455,LAGUNA NIGUEL,NA,0.5875161566666667,1.0491139499999997,0.5875161566666667,50761.395936,0.683,NA,59011.200000000004,NA,NA,59011.200000000004,SAN JUAN CAPISTRANO,0.149275428,1123.28596907,1.676792619,88.089221367936,88.089221367936,0.9233333333333333,Yes,MY2023-24,SULPHURCREEK,287,23343.35003176515
J03-9216-5,NA,LAGUNA NIGUEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.99,LAGUNA NIGUEL,100,28.2665925,28.26647425,NA,1708.6798342396598,1,Yes,MY2023-24,SULPHURCREEK,287,490391.1124267824
J03-9221-1 (J03P02),0.239694,LAGUNA NIGUEL,NA,0.0928475,0.16538885999999997,0.0928475,8022.023999999999,0.166,NA,14342.400000000001,NA,NA,14342.400000000001,LAGUNA NIGUEL,100,565.70937288,565.719346,14342.400000000001,14342.400000000001,0.77,Yes,MY2023-24,SULPHURCREEK,287,3169526.9760000003
J03-9234-5,0.012591,LAGUNA NIGUEL,NA,NA,0.008687789999999999,0.008687789999999999,750.6250559999999,NA,NA,NA,NA,NA,750.6250559999999,LAGUNA NIGUEL,100,131.49969178,131.5020101,750.6250559999999,750.6250559999999,0.885,Yes,MY2023-24,SULPHURCREEK,287,190655.01109871996
J03-9234-6,0.981972,LAGUNA NIGUEL,NA,0.050986615,0.6775606799999999,0.050986615,4405.243536,0.039,NA,3369.5999999999995,NA,NA,3369.5999999999995,LAGUNA NIGUEL,99.27752823,232.09078171,230.4180534,3345.2555912380794,3345.2555912380794,1,Yes,MY2023-24,SULPHURCREEK,287,960088.3546853288
