Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
San Juan Capistrano,Verified,1,L01-749-2d,0.081752,2024-06-25,NA,Flowing,Yes,Undetermined,NA,NA,NA,NA,NA,NA,Above Average Discharge,Not present,Not present,Poison hemlock - unsafe access,Not Present (0 Items),NA,NA,NA,NA,NA,33.50765555,-117.64027393
San Juan Capistrano,Verified,1,L01-749-2d,0.081752,2024-08-15,Minor Fraction (10 - 50%),Pooled or Ponded,Yes,Direct Connection,None,NA,NA,NA,NA,NA,Above Average Discharge,Not present,Not present,Outfall pipe is in poor condition,Not Present (0 Items),NA,NA,NA,NA,Other - See Comments,33.50765555,-117.64027393
San Clemente,Verified,1,M02-086-1,3.71e-4,2024-05-22,NA,NA,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Inaccessible due to overgrown vegetation,NA,NA,NA,NA,NA,NA,33.47727151,-117.59993311
San Clemente,Verified,1,M02-086-1,3.71e-4,2024-08-07,NA,NA,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Unable to access due to vegetation,NA,NA,NA,NA,NA,NA,33.47727151,-117.59993311
San Clemente,Verified,1,SC01-077-2,0.019583,2024-08-19,NA,Flowing,Unknown,Direct Connection,NA,Not A Priority,NA,1165,0.08,0.014,20% Or More Above Average Discharge,Not present,Not present,Volumetric:  0.014 cfs; 2 liters in 5 sec,Not Present (0 Items),NA,NA,NA,NA,NA,33.39147614,-117.59792279
San Clemente,Verified,1,SC01-077-2,0.019583,2024-05-23,Small Fraction (<10%),Pooled or Ponded,Unknown,Direct Connection,NA,Not A Priority,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,Ponded outfall. Lots of algae growing. Got access via kiosk at gated community. Got key for gate from property manager.,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.39147614,-117.59792279
Laguna Niguel,Verified,1,K01-12155-5,0.061386,2024-05-17,NA,Other - See Comments,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Inaccessible due to overgrown vegetation,NA,NA,NA,NA,NA,NA,33.50234163,-117.72004092
Laguna Niguel,Verified,1,K01-12155-5,0.061386,2024-08-14,NA,Other - See Comments,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,"Overgrown, inaccessible",NA,NA,NA,NA,NA,NA,33.50234163,-117.72004092
Laguna Niguel,Verified,1,K01-12156-3,0,2024-05-20,NA,NA,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Inaccessible due to overgrown vegetation.,NA,NA,NA,NA,NA,Overgrown,33.50412284,-117.70946199
Mission Viejo,Verified,1,J01-9066-2 (J01P03),0.085018,2024-08-15,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,64,2300,0.13,0.066,20% Or More Above Average Discharge,Clear,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,1,Graffiti,33.61058951,-117.69275623
Mission Viejo,Verified,1,J01-9066-2 (J01P03),0.085018,2024-03-05,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,64,NA,0.081,0.052,20% Or More Above Average Discharge,Not present,Not present,Solar smashed but working.,Moderate (11-50 Items),In flow path of outfall,NA,NA,1,Graffiti,33.61058951,-117.69275623
Lake Forest,Verified,1,J01-10006-1,0,2024-09-10,Small Fraction (<10%),Pooled or Ponded,Yes,Partial - Significant Distance,Trash,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Odor at outfall,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,None,33.6283627,-117.68365851
Lake Forest,Verified,1,J01-10006-1,0,2024-07-10,Small Fraction (<10%),Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,1222,NA,NA,Equal,Not present,Not present,NA,Moderate (11-50 Items),NA,NA,NA,NA,None,33.6283627,-117.68365851
San Juan Capistrano,Verified,1,L01-766-8,0,2024-06-10,Small Fraction (<10%),Pooled or Ponded,Unknown,Direct Connection,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,NA,33.49262323,-117.6623404
San Juan Capistrano,Verified,1,L01-766-8,0,2024-07-25,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,None,33.49262323,-117.6623404
Mission Viejo,Verified,1,L03-141-2,0.005866,2024-07-09,NA,Flowing,Yes,Direct Connection,NA,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.65656186,-117.63438217
Mission Viejo,Verified,1,L03-141-2,0.005866,2024-08-22,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Graffiti,33.65656186,-117.63438217
Dana Point,Verified,1,L01-727-3,0.006964,2024-07-11,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.47154632,-117.68012546
Dana Point,Verified,1,L01-727-3,0.006964,2024-09-03,NA,Other - See Comments,Unknown,Partial - Significant Distance,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,"Outfall is sprinkling water, no measurable flow could be done.",Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.47154632,-117.68012546
Mission Viejo,Verified,1,L03-172-2,0.017881,2024-07-09,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,1275,0.015,0,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.65145331,-117.63883324
Mission Viejo,Verified,1,L03-172-2,0.017881,2024-08-20,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,955,0.062069,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.65145331,-117.63883324
San Juan Capistrano,Verified,1,L01-749-3,0,2024-06-10,Small Fraction (<10%),Other - See Comments,Unknown,None - Flow Infiltrates or Outfall is Dry,Other - see comments,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Large tree and fence are collapsed into outfall area. Unable to take measurements on trickle flow.,Moderate (11-50 Items),Within area surrounding outfall,NA,NA,NA,Other - See Comments,33.50819168,-117.63890916
San Juan Capistrano,Verified,1,L01-749-3,0,2024-07-22,NA,Other - See Comments,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,several fallen branches and logs preventing measurements from being taken,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Overgrown,33.50819168,-117.63890916
Orange Co,Verified,1,L01-340-1,0.056759,2024-05-21,NA,Flowing,Yes,Undetermined,None,Priority,39,NA,0.052355,0.033,20% Or More Above Average Discharge,Clear,Not present,Yellow tinted water,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,1,Graffiti,33.58695721,-117.59542818
Orange Co,Verified,1,L01-340-1,0.056759,2024-07-30,NA,Flowing,Yes,NA,None,Priority,39,NA,0.18,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,1,Graffiti,33.58695721,-117.59542818
Dana Point,Verified,1,DP01-12022-2,0,2024-09-03,Small Fraction (<10%),Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,NA,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.46649818,-117.71607895
Dana Point,Verified,1,DP01-12022-2,0,2024-07-10,Small Fraction (<10%),Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,NA,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),NA,NA,NA,NA,None,33.46649818,-117.71607895
San Clemente,Verified,1,M02-015-1,0.020964,2024-05-22,NA,Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,"Brown ""tea"" tint","Outfall is ponded. Ponding extends through dissipator, then into a flow path. Flow path ponded for ~20ft then inaccessible. Flow path assumed to reach RW if there is flow.",Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.4781524,-117.5832337
San Clemente,Verified,1,M02-015-1,0.020964,2024-08-19,NA,Flowing,Yes,Undetermined,NA,Not A Priority,NA,1129,NA,NA,Below Average Discharge,Not present,Surface scum,Ponded at discharge point - sound of flow back in pipe.  Confined space.,Sparse (<10 Items),NA,NA,NA,NA,Clogged,33.4781524,-117.5832337
Laguna Beach,Verified,1,I01-11077-1,0,2024-08-01,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.5632134,-117.76798231
Mission Viejo,Verified,1,J07-9022-6,0.001924,2024-08-15,Small Fraction (<10%),Flowing,Unknown,Direct Connection,None,NA,NA,NA,0.002667,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.62875416,-117.66622794
Mission Viejo,Verified,1,J07-9022-6,0.001924,2024-07-01,NA,Pooled or Ponded,Unknown,NA,NA,NA,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,NA,NA,NA,NA,NA,NA,33.62875416,-117.66622794
Orange Co,Verified,1,L01-733-4,0,2024-08-05,NA,Dry,Unknown,NA,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.62234916,-117.57671371
Orange Co,Verified,1,L01-733-4,0,2024-06-12,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.62234916,-117.57671371
Laguna Beach,Verified,1,I01-11023-1,0.002155,2024-08-08,Small Fraction (<10%),Pooled or Ponded,Unknown,Direct Connection,NA,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,Recent flow - pipe is moist,Not Present (0 Items),NA,Yes,NA,NA,NA,33.54963186,-117.7803141
Laguna Beach,Verified,1,I01-11023-1,0.002155,2024-06-18,Small Fraction (<10%),Other - See Comments,Unknown,Direct Connection,NA,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,Yes,NA,NA,NA,33.54963186,-117.7803141
Laguna Niguel,Verified,1,K01-12155-1,4.4e-4,2024-08-14,NA,Pooled or Ponded,Unknown,NA,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.49919106,-117.72020822
Laguna Niguel,Verified,1,K01-12155-1,4.4e-4,2024-05-17,Small Fraction (<10%),Dry,Unknown,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.49919106,-117.72020822
San Juan Capistrano,Verified,1,L03-455-3 (L03P37),0,2024-06-11,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.53869777,-117.67557003
San Juan Capistrano,Verified,1,L03-455-3 (L03P37),0,2024-07-22,Small Fraction (<10%),Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,outfall is covered in rat droppings,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Graffiti,33.53869777,-117.67557003
Mission Viejo,Verified,1,L03-693-1 (L03P11),0.116283,2024-07-25,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,55,3032,0.1484,0.028,20% Or More Above Average Discharge,Yellow tint,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,1,NA,33.5977525,-117.65572316
Mission Viejo,Verified,1,L03-693-1 (L03P11),0.116283,2024-05-16,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,55,4234,0.1113,0.038,20% Or More Above Average Discharge,"Brown ""tea"" tint",Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,1,NA,33.5977525,-117.65572316
Mission Viejo,Verified,1,L03-141-3,0.01245,2024-08-22,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,57,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Graffiti,33.65655048,-117.63436637
Mission Viejo,Verified,1,L03-141-3,0.01245,2024-07-09,NA,Flowing,Yes,Direct Connection,NA,Priority,57,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.65655048,-117.63436637
San Clemente,Verified,1,SC09-081-2d,0.072646,2024-05-29,NA,Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,Other - see comments,NA,NA,7090,0.060976,NA,Below Average Discharge,Not present,Not present,"Both north and south pipes were flowing but only flow in the south pipe was quantified. The north pipe had flow that was too low to quantify. There were 2 distinct streams coming from the 2 pipes. The stream from the north pipe had bubbles in it. Neither stream reached the RW, both infiltrated within 10 ft of it.",Not Present (0 Items),NA,NA,NA,NA,None,33.43542344,-117.6377743
Orange Co,Verified,1,L02-344-2,0.408144,2024-07-31,Major Fraction (>50%),Pooled or Ponded,Yes,Direct Connection,None,NA,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.5918873,-117.62859074
Orange Co,Verified,1,L02-344-2,0.408144,2024-06-07,NA,Pooled or Ponded,Yes,NA,None,NA,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Outfall was ponded with green water with thick algae. Access was difficult due to the surrounding area being overgrown.,Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.5918873,-117.62859074
San Clemente,Verified,1,M02-052-3,0.100222,2024-05-22,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,48,4197,NA,0.001,Below Average Discharge,Not present,Clear,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.45124556,-117.60978121
Laguna Niguel,Verified,1,K01-12032-2 (K01P11),0.097353,2024-05-17,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,58,1908,0.094026,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.51685064,-117.71774628
Laguna Niguel,Verified,1,K01-12032-2 (K01P11),0.097353,2024-08-14,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,58,2080,0.134615,0.034,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.51685064,-117.71774628
Orange Co,Verified,1,L01-517-6,0.0279,2024-06-06,NA,Flowing,Unknown,Undetermined,None,NA,NA,2276,0.0264,NA,Below Average Discharge,Not present,Not present,Lots of tadpoles downstream.,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.52410875,-117.61897691
Orange Co,Verified,1,L01-517-6,0.0279,2024-07-15,NA,Flowing,Unknown,Unsafe to Access,NA,NA,NA,1952,0.015,0.004,Below Average Discharge,Yellow tint,NA,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.52410875,-117.61897691
San Juan Capistrano,Verified,1,L01-517-2,0,2024-06-10,NA,Dry,Unknown,NA,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,"Outfall filled with ~5% sediment. Sediments look damp, signifying potential recent flow.",Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.51859815,-117.62570872
San Juan Capistrano,Verified,1,L01-517-2,0,2024-07-29,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,NA,In flow path of outfall,NA,NA,NA,None,33.51859815,-117.62570872
Laguna Hills,Verified,1,J05-9255-1 (J05P01),0,2024-09-04,NA,Pooled or Ponded,Yes,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Viewed from a distance from wooden fence near sidewalk. Gate is blocked by large bush.,NA,NA,NA,NA,NA,NA,33.58459817,-117.70637394
Laguna Hills,Verified,1,J05-9255-1 (J05P01),0,2024-09-25,NA,Pooled or Ponded,Yes,Undetermined,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Viewed ponding from sidewalk side of fence,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.58459817,-117.70637394
Mission Viejo,Verified,1,J07-9110-2,0.013448,2024-08-20,Small Fraction (<10%),Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Priority,45,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.63608386,-117.66224008
Mission Viejo,Verified,1,J07-9110-2,0.013448,2024-03-04,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,45,NA,0.002,NA,20% Or More Above Average Discharge,Not present,Not present,Offline due to vandalism,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.63608386,-117.66224008
Mission Viejo,Verified,1,J07-9110-2,0.013448,2024-07-01,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,45,1595,0.023645,0.001,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.63608386,-117.66224008
Mission Viejo,Verified,1,J07-9110-2,0.013448,2024-04-02,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,45,NA,0.013638,0.006,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.63608386,-117.66224008
Mission Viejo,Verified,1,J07-9110-2,0.013448,2024-04-01,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,45,NA,0.035714,0.014,20% Or More Above Average Discharge,Not present,Not present,Solar panels vandalized and stolen. Replaced stolen panel and added new batteries.,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Damaged,33.63608386,-117.66224008
Aliso Viejo,Verified,1,J01-9992-1 (J01P27),0.159686,2024-08-06,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,66,3964,0.167647,0.024,Above Average Discharge,Not present,Clear,NA,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,1,None,33.57325111,-117.71660023
Aliso Viejo,Verified,2,J01-9992-1 (J01P27),0.159686,2024-02-01,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,66,45,NA,NA,Above Average Discharge,Not present,Not present,Bacteria storm sampling,Abundant (>50 Items),In flow path of outfall,Yes,Yes,1,NA,33.57325111,-117.71660023
Aliso Viejo,Verified,1,J01-9992-1 (J01P27),0.159686,2024-05-29,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,66,4415,0.068085,NA,Above Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,1,Graffiti,33.57325111,-117.71660023
Aliso Viejo,Verified,1,J01-9992-1 (J01P27),0.159686,2024-03-06,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,NA,Priority,66,NA,0.073661,0.034,Above Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,1,Graffiti,33.57325111,-117.71660023
Dana Point,Verified,1,SC11-130-2,0.011571,2024-08-26,NA,Dry,Unknown,NA,NA,NA,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Outfall buried,NA,NA,NA,NA,NA,NA,33.45571318,-117.66915896
Dana Point,Verified,1,SC11-130-2,0.011571,2024-06-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,NA,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.45571318,-117.66915896
Rancho Santa Margarita,Verified,1,L01-125-2,0.021,2024-05-23,NA,Pooled or Ponded,Yes,NA,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Clear,Outfall appears to have very low flow but is inaccessible due to dissipator filled in with sediments. There is ponding outside of outfall and most inputs appear to be coming from above the headwall and not from the outfall. Abundant tadpoles.,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.65542936,-117.55925637
Laguna Niguel,Verified,1,K01-12062-1,0.122807,2024-05-20,Small Fraction (<10%),Pooled or Ponded,Yes,Partial - Significant Distance,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.50914243,-117.6906695
San Juan Capistrano,Verified,1,L01-748-2,0,2024-06-10,NA,Pooled or Ponded,Yes,NA,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.50405528,-117.64280318
San Juan Capistrano,Verified,1,L01-748-2,0,2024-07-22,Major Fraction (>50%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.50405528,-117.64280318
San Juan Capistrano,Verified,1,L01-618-2,NA,2024-06-03,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,NA,Not present,Not present,Ponded outfall. No flow observed. Water observed to be a green color. No odor.,Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.5004829,-117.65035378
Laguna Beach,Verified,1,I01-11015-3,8.36e-4,2024-05-07,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.5479255,-117.78153436
Laguna Beach,Verified,1,I01-11015-3,8.36e-4,2024-08-01,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.5479255,-117.78153436
San Juan Capistrano,Verified,1,L01-749-2,0.077331,2024-06-25,NA,Pooled or Ponded,Yes,NA,NA,Priority,10,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,NA,NA,33.50830057,-117.64016655
San Juan Capistrano,Verified,1,L01-749-2,0.077331,2024-08-15,Small Fraction (<10%),Pooled or Ponded,Yes,Partial - Significant Distance,None,Priority,10,NA,NA,NA,20% Or More Above Average Discharge,"Brown ""tea"" tint",Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,None,33.50830057,-117.64016655
