"","Time","Flow (cfs)"
"337","8/30/2024 0:00",""
"338","8/31/2024 0:00",""
"339","9/1/2024 0:00",""
"340","9/2/2024 0:00",""
"341","9/3/2024 0:00",""
"342","9/4/2024 0:00",""
"343","9/5/2024 0:00",""
"344","9/6/2024 0:00",""
"345","9/7/2024 0:00",""
"346","9/8/2024 0:00",""
"347","9/9/2024 0:00",""
"348","9/10/2024 0:00",""
"349","9/11/2024 0:00",""
"350","9/12/2024 0:00",""
"351","9/13/2024 0:00",""
"352","9/14/2024 0:00",""
"353","9/15/2024 0:00",""
"354","9/16/2024 0:00",""
"355","9/17/2024 0:00",""
"356","9/18/2024 0:00",""
"357","9/19/2024 0:00",""
"358","9/20/2024 0:00",""
"359","9/21/2024 0:00",""
"360","9/22/2024 0:00",""
"361","9/23/2024 0:00",""
"362","9/24/2024 0:00",""
"363","9/25/2024 0:00",""
"364","9/26/2024 0:00",""
"365","9/27/2024 0:00",""
"366","9/28/2024 0:00",""
"367","9/29/2024 0:00",""
"368","9/30/2024 0:00",""
"369","10/1/2024 0:00",""
"370","10/2/2024 0:00",""
