,AvgDischarge,FacilityID,FlowCondition,ObsRecordDate,PersistentFlow,FlowConnectivity,Priority,PrioritizationScore2022,FloatDischargeCFS,VolumeDischargeCFS,PointY,PointX,Notes
50,0,L01-727-2,Dry,5/9/2023,Unknown,,Not A Priority,,0,,33.47419329,-117.6797341,
51,0,L01-727-2,Dry,8/29/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47419329,-117.6797341,
52,0,L01-726-3,Dry,8/8/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47522955,-117.6788187,
53,0,L01-726-3,Dry,8/29/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47522955,-117.6788187,
54,0,L01-726-3,Dry,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47522955,-117.6788187,
55,0,L01-726-3,Dry,6/6/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47522955,-117.6788187,
56,0.008383,L01-749-5,Pooled or Ponded,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,,,,,33.509183,-117.636421,
57,0.008383,L01-749-5,Dry,8/11/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,,,0,,33.509183,-117.636421,
58,0.008383,L01-749-5,Pooled or Ponded,8/9/2023,Unknown,Direct Connection,,,,,33.509183,-117.636421,
59,0,L01-618-3,Other - See Comments,8/10/2022,Unknown,Undetermined,Not A Priority,,,,33.50155524,-117.6500212,
60,0,L01-618-3,Other - See Comments,8/7/2023,Unknown,,Not A Priority,,,,33.50155524,-117.6500212,
61,0,L01-618-3,Other - See Comments,5/19/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.50155524,-117.6500212,
62,0,L01-748-1,Dry,8/9/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.50404847,-117.6428321,
63,0,L01-748-1,Dry,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.50404847,-117.6428321,
64,0,L01-748-1,Dry,6/5/2023,Unknown,,Not A Priority,,0,,33.50404847,-117.6428321,
65,0,L01-748-1,Dry,8/10/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.50404847,-117.6428321,
66,0,L01-399-1,,8/17/2023,Unknown,,,,,,33.56325497,-117.546523,
67,0,L01-724-2,Dry,9/6/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.48347973,-117.6772035,
68,,L01-602-2,Pooled or Ponded,8/7/2023,Yes,,Not A Priority,,,,33.49828674,-117.6536768,
69,,L01-602-2,Pooled or Ponded,6/5/2023,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.49828674,-117.6536768,
70,,L01-602-2,Pooled or Ponded,8/10/2022,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.49828674,-117.6536768,
71,0.001777,L01-517-7,Dry,9/27/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,,,0,,33.52425393,-117.6195437,
72,0.001777,L01-517-7,Dry,8/14/2023,Unknown,,,,0,,33.52425393,-117.6195437,
73,0.001777,L01-517-7,Dry,5/31/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,,,0,,33.52425393,-117.6195437,
74,0.001777,L01-517-7,Dry,5/30/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,,,0,,33.52425393,-117.6195437,
75,0.095255,L01-494-1,Flowing,9/27/2022,Yes,None - Flow Infiltrates or Outfall is Dry,,,0.045,0.022,33.52846755,-117.6076268,
76,0.095255,L01-494-1,Flowing,6/19/2023,Yes,,,,,0.054,33.52846755,-117.6076268,
77,0.095255,L01-494-1,Flowing,5/31/2022,Yes,Undetermined,,,0.1575,,33.52846755,-117.6076268,
78,0.095255,L01-494-1,Flowing,5/30/2023,Yes,Unsafe to Access,,,,,33.52846755,-117.6076268,
79,0.095255,L01-494-1,Flowing,8/14/2023,Yes,Direct Connection,,,,,33.52846755,-117.6076268,
80,0.093346,L01-724-1 (L01S01),Flowing,6/8/2023,Yes,Direct Connection,Priority,36,0.200769,,33.48318609,-117.6770626,
81,0.093346,L01-724-1 (L01S01),Flowing,8/16/2023,Yes,Direct Connection,Priority,36,0.129524,,33.48318609,-117.6770626,
82,0.093346,L01-724-1 (L01S01),Flowing,9/6/2022,Yes,Partial - Significant Distance,Priority,36,0.1188,,33.48318609,-117.6770626,
83,0.093346,L01-724-1 (L01S01),Flowing,6/22/2022,Yes,Partial - Significant Distance,Priority,36,0.07102,,33.48318609,-117.6770626,
84,0.173904,L01-766-9,Pooled or Ponded,9/6/2022,Yes,Undetermined,Priority,48,,,33.496535,-117.655642,
85,0.173904,L01-766-9,Pooled or Ponded,6/8/2023,Yes,Undetermined,Priority,48,,,33.496535,-117.655642,
86,0.173904,L01-766-9,,8/16/2023,Yes,,Priority,48,,,33.496535,-117.655642,
87,0.173904,L01-766-9,Pooled or Ponded,6/28/2022,Yes,Undetermined,Priority,48,,,33.496535,-117.655642,
88,0,L01-726-9,Dry,9/14/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47841897,-117.6781053,
89,0,L01-726-9,Dry,8/8/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47841897,-117.6781053,
90,0,L01-726-9,Dry,6/28/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47841897,-117.6781053,
91,0,L01-726-9,Dry,6/6/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47841897,-117.6781053,
92,0.00048,L01-726-8,Pooled or Ponded,9/14/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.47849535,-117.6786837,
93,0.00048,L01-726-8,Dry,6/6/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47849535,-117.6786837,
94,0.00048,L01-726-8,Flowing,6/28/2022,Unknown,Partial - Significant Distance,Not A Priority,,0.005769,,33.47849535,-117.6786837,
95,0.00048,L01-726-8,Flowing,8/8/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.47849535,-117.6786837,
96,0.019417,L01-514-1,Flowing,9/23/2022,Yes,Undetermined,Not A Priority,,0.0048,,33.52388419,-117.6229158,
97,0.019417,L01-514-1,Pooled or Ponded,8/14/2023,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.52388419,-117.6229158,
98,0.019417,L01-514-1,Pooled or Ponded,6/17/2022,Yes,Undetermined,Not A Priority,,,,33.52388419,-117.6229158,
99,0.019417,L01-514-1,Flowing,5/30/2023,Yes,Undetermined,Not A Priority,,,,33.52388419,-117.6229158,
100,0.129248,L01-727-1 (L01S04),Dry,7/12/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47115503,-117.6810116,
101,0.129248,L01-727-1 (L01S04),Dry,8/29/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47115503,-117.6810116,
102,0.129248,L01-727-1 (L01S04),Flowing,5/9/2023,Unknown,Direct Connection,Not A Priority,,0.177349,,33.47115503,-117.6810116,
103,0.129248,L01-727-1 (L01S04),Flowing,9/6/2023,Unknown,Direct Connection,Not A Priority,,1.162791,,33.47115503,-117.6810116,
104,0.001664,L01-517-3,Pooled or Ponded,9/27/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.52266244,-117.6202815,
105,0.001664,L01-517-3,Other - See Comments,5/30/2023,Unknown,,Not A Priority,,,,33.52266244,-117.6202815,
106,0.001664,L01-517-3,,8/14/2023,Unknown,,Not A Priority,,,,33.52266244,-117.6202815,
107,0.001664,L01-517-3,Pooled or Ponded,5/31/2022,Unknown,Undetermined,Not A Priority,,,,33.52266244,-117.6202815,
108,0,L01-601-1,Dry,6/6/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.48172393,-117.677888,
109,0,L01-601-1,Dry,6/28/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.48172393,-117.677888,
110,0,L01-601-1,Dry,8/8/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.48172393,-117.677888,
111,0,L01-601-1,Dry,9/14/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.48172393,-117.677888,
112,0,L01-618-4,Dry,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.5025008,-117.6485177,
113,0,L01-618-4,Pooled or Ponded,8/9/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.5025008,-117.6485177,
114,0,L01-618-4,Dry,8/10/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.5025008,-117.6485177,
115,0,L01-618-4,Pooled or Ponded,5/19/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.5025008,-117.6485177,
116,0.081,L01-618-1,Pooled or Ponded,8/7/2023,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.5000465,-117.6521706,
117,0.081,L01-618-1,Pooled or Ponded,6/5/2023,Yes,Direct Connection,Not A Priority,,,,33.5000465,-117.6521706,
118,0.081,L01-618-1,Pooled or Ponded,7/28/2022,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.5000465,-117.6521706,
119,0.081,L01-618-1,Pooled or Ponded,8/10/2022,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.5000465,-117.6521706,
120,0.180442,L01-766-2 (L01S06),Flowing,8/7/2023,Unknown,Direct Connection,Not A Priority,,0.203704,,33.48591622,-117.6721518,
121,0.180442,L01-766-2 (L01S06),Flowing,8/10/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0.450626,0.014,33.48591622,-117.6721518,
122,0.180442,L01-766-2 (L01S06),Other - See Comments,6/5/2023,Unknown,Unsafe to Access,Not A Priority,,,,33.48591622,-117.6721518,
123,0.180442,L01-766-2 (L01S06),Flowing,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0.212389,0.016,33.48591622,-117.6721518,
124,0.0072,L01-724-5,Pooled or Ponded,7/13/2022,Unknown,,,,,,33.48179806,-117.6772768,
125,0.045,L01-747-1,Pooled or Ponded,8/9/2023,Yes,,Not A Priority,,,,33.5089042,-117.6345061,
126,0.045,L01-747-1,Pooled or Ponded,8/10/2022,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.5089042,-117.6345061,
127,0.045,L01-747-1,Pooled or Ponded,7/28/2022,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.5089042,-117.6345061,
128,0.045,L01-747-1,Pooled or Ponded,6/5/2023,Yes,Direct Connection,Not A Priority,,,,33.5089042,-117.6345061,
129,0.015099,L01-556-1,Pooled or Ponded,7/28/2022,Unknown,Undetermined,Not A Priority,,,,33.50553072,-117.6451428,
130,0.015099,L01-556-1,Flowing,8/10/2022,Unknown,Undetermined,Not A Priority,,0.011494,,33.50553072,-117.6451428,
131,0.015099,L01-556-1,Other - See Comments,6/5/2023,Unknown,Unsafe to Access,Not A Priority,,,,33.50553072,-117.6451428,
132,0.015099,L01-556-1,Flowing,8/9/2023,Unknown,Direct Connection,Not A Priority,,0.118571,,33.50553072,-117.6451428,
133,0.001979,L01-766-4,Other - See Comments,8/7/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.487744,-117.6675898,
134,0.001979,L01-766-4,Dry,8/11/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.487744,-117.6675898,
135,0.001979,L01-766-4,Dry,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.487744,-117.6675898,
136,0.001979,L01-766-4,Dry,6/5/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.487744,-117.6675898,
137,0.00798,L01-766-3,Flowing,8/8/2023,Yes,Direct Connection,Priority,9,,,33.48601029,-117.6702887,
138,0.00798,L01-766-3,Dry,7/13/2022,Yes,None - Flow Infiltrates or Outfall is Dry,Priority,9,0,,33.48601029,-117.6702887,
139,0.00798,L01-766-3,Flowing,9/28/2022,Yes,Direct Connection,Priority,9,0.008571,0.006,33.48601029,-117.6702887,
140,0.00798,L01-766-3,Flowing,6/6/2023,Yes,Direct Connection,Priority,9,,0.001,33.48601029,-117.6702887,
141,0,L01-766-5,Dry,8/10/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.48754274,-117.6667953,
142,0,L01-766-5,Dry,6/5/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.48754274,-117.6667953,
143,0,L01-766-5,Dry,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.48754274,-117.6667953,
144,0,L01-766-5,Dry,8/7/2023,Unknown,,Not A Priority,,0,,33.48754274,-117.6667953,
145,0,L01-726-2,Pooled or Ponded,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.47487148,-117.6795156,
146,0,L01-726-2,Other - See Comments,6/6/2023,Unknown,Direct Connection,Not A Priority,,,,33.47487148,-117.6795156,
147,0,L01-726-2,Dry,8/29/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47487148,-117.6795156,
148,0,L01-726-2,Flowing,8/8/2023,Unknown,Partial - Significant Distance,Not A Priority,,,,33.47487148,-117.6795156,
149,0.015596,L01-726-5,Flowing,9/7/2022,Yes,Direct Connection,Priority,29,0.015484,0.004,33.47582393,-117.6793196,
150,0.015596,L01-726-5,Flowing,8/29/2022,Yes,Direct Connection,Priority,29,0.060674,0.011,33.47582393,-117.6793196,
151,0.015596,L01-726-5,Flowing,6/21/2023,Yes,Direct Connection,Priority,29,0.03,0.012,33.47582393,-117.6793196,
152,0.015596,L01-726-5,Flowing,6/22/2022,Yes,Direct Connection,Priority,29,0.0015,,33.47582393,-117.6793196,
153,0.015596,L01-726-5,Flowing,8/15/2023,Yes,Direct Connection,Priority,29,0.052077,0.016,33.47582393,-117.6793196,
154,0.000859,L01-766-7,Other - See Comments,6/5/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.49229639,-117.663183,
155,0.000859,L01-766-7,Flowing,8/10/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0.000262,,33.49229639,-117.663183,
156,0.000859,L01-766-7,Flowing,8/7/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.49229639,-117.663183,
157,0.000859,L01-766-7,Flowing,6/28/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.49229639,-117.663183,
158,0.135838,L01-724-4 (L01P03),Flowing,8/16/2023,Yes,Direct Connection,Priority,40,0.241015,0.052,33.4847041,-117.675358,
159,0.135838,L01-724-4 (L01P03),Flowing,6/22/2022,Yes,Direct Connection,Priority,40,0.092975,,33.4847041,-117.675358,
160,0.135838,L01-724-4 (L01P03),Flowing,9/6/2022,Yes,Direct Connection,Priority,40,0.08,,33.4847041,-117.675358,
161,0.135838,L01-724-4 (L01P03),Flowing,6/8/2023,Yes,Direct Connection,Priority,40,0.217582,0.072,33.4847041,-117.675358,
162,0,L01-726-7,Dry,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47686584,-117.678454,
163,0,L01-726-7,Dry,6/6/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47686584,-117.678454,
164,0,L01-726-7,Dry,8/29/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47686584,-117.678454,
165,0,L01-726-7,Dry,8/8/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47686584,-117.678454,
166,0.00661,L01-471-1,Dry,9/27/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,,,0,,33.52557232,-117.5973064,
167,0.00661,L01-471-1,Dry,5/31/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,,,0,,33.52557232,-117.5973064,
168,0.00661,L01-471-1,Flowing,8/14/2023,Unknown,Partial - Significant Distance,,,0.051173,,33.52557232,-117.5973064,
169,0.00661,L01-471-1,Flowing,5/30/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,,,0.009167,,33.52557232,-117.5973064,
170,0.000675,L01-458-1,Flowing,5/30/2023,Unknown,Undetermined,Not A Priority,,NR,,33.5249855,-117.615117,
171,0.000675,L01-458-1,Flowing,9/27/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0.0015,0.002,33.5249855,-117.615117,
172,0.000675,L01-458-1,Pooled or Ponded,5/31/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,NR,,33.5249855,-117.615117,
173,0.000675,L01-458-1,Dry,8/14/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.5249855,-117.615117,
174,0.026835,L01-747-2,Pooled or Ponded,8/10/2022,Yes,Partial - Significant Distance,Not A Priority,,,,33.51061235,-117.6330118,
175,0.026835,L01-747-2,Flowing,6/5/2023,Yes,Direct Connection,Not A Priority,,0.022706,,33.51061235,-117.6330118,
176,0.026835,L01-747-2,Flowing,7/28/2022,Yes,Undetermined,Not A Priority,,0.069903,0.02,33.51061235,-117.6330118,
177,0.026835,L01-747-2,Flowing,8/9/2023,Yes,Direct Connection,Not A Priority,,0.0625,,33.51061235,-117.6330118,
178,0.001,L01-399-2,Other - See Comments,8/17/2023,Unknown,,,,,,33.56270889,-117.5467328,
179,0,L01-517-8,Dry,6/5/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,,,0,,33.518737,-117.6245,
180,0,L01-517-8,Dry,8/9/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,,,0,,33.518737,-117.6245,
