Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Mission Viejo,Verified,1,L02-396-1,0.023463,7/8/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,47,2550,0.017143,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.5634741,-117.65378
Mission Viejo,Verified,1,L03-141-2,0.005866,7/9/2024,NA,Flowing,Yes,Direct Connection,NA,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.65656186,-117.6343822
Mission Viejo,Verified,1,L03-172-2,0.017881,7/9/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,1275,0.015,0,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.65145331,-117.6388332
Mission Viejo,Verified,1,L03-141-3,0.01245,7/9/2024,NA,Flowing,Yes,Direct Connection,NA,Priority,57,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.65655048,-117.6343664
Mission Viejo,Verified,1,L03-240-1 (L03P14),0.026244,7/9/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,NA,Priority,46,1922,0.037714,0.029,20% Or More Above Average Discharge,Yellow tint,Odor,Mud in dissipator has a white slime.  Dried leaves and trash prob from MS4z.,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,Graffiti,33.61518584,-117.637065
Mission Viejo,Verified,1,L03-172-3,NA,7/9/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,NA,NA,NA,NA,NA,NA,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.65148883,-117.6374948
Mission Viejo,Verified,1,L04-702-4,0,7/9/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.58274208,-117.6733815
Mission Viejo,Verified,1,L04-266-1,0.00225,7/9/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.60525229,-117.6723842
Mission Viejo,Verified,1,L04-702-1 (L04P02),0.019946,7/9/2024,NA,Pooled or Ponded,Yes,Direct Connection,NA,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,Fish - foam,Moderate (11-50 Items),Within area surrounding outfall,NA,NA,NA,NA,33.58053553,-117.6732563
Mission Viejo,Verified,1,L03-074-2,0.029399,7/9/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,36,1269,0.135,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.63946665,-117.6417514
Mission Viejo,Verified,1,L03-074-1 (L03B01),0.199451,7/9/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,71,2880,0.198857,0.035,Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,1,Graffiti,33.63831694,-117.6388327
Mission Viejo,Verified,1,L03-141-1,0.069135,7/9/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,NA,Priority,66,1830,0.0675,NA,Below Average Discharge,Not present,Not present,Sand in outfall,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,NA,33.65655234,-117.6343801
Mission Viejo,Verified,1,L03-316-4,0.017486,7/9/2024,Small Fraction (<10%),Flowing,Yes,Undetermined,None,Priority,43,NA,2.06E-04,NA,Below Average Discharge,Not present,Not present,So many spiders!,Not Present (0 Items),NA,NA,NA,NA,Graffiti,33.59615775,-117.6560681
Mission Viejo,Verified,1,L03-662-1,0.019535,7/10/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,2510,NA,0.002,Below Average Discharge,Not present,Clear,Bubbles,Not Present (0 Items),NA,NA,NA,NA,NA,33.61812287,-117.6501898
Mission Viejo,Verified,1,L03-241-3,0.34292,7/10/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,2550,0.340909,NA,Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.60617429,-117.6478945
Mission Viejo,Verified,1,L03-241-4,0.012388,7/10/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,45,,0.004516,NA,20% Or More Above Average Discharge,Not present,Not present,,Sparse (<10 Items),NA,NA,NA,NA,None,33.60922713,-117.6441002
Mission Viejo,Verified,1,L03-316-2,0.022959,7/10/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,34,2910,0.014379,0.003,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Graffiti,33.5909262,-117.6594454
Mission Viejo,Verified,1,J01-10012-3,0,7/10/2024,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Cannot find outfall to creek,Not Present (0 Items),NA,NA,NA,NA,NA,33.66921308,-117.6269503
Mission Viejo,Verified,1,L03-316-1,0.034398,7/10/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,59,3060,0.035,0.002,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,Graffiti,33.59093014,-117.659656
Mission Viejo,Verified,1,J07-9022-1,0.004128,7/10/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,41,1624,0.004433,0.001,Below Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),Within area surrounding outfall,NA,NA,NA,Graffiti,33.62677607,-117.6747604
Mission Viejo,Verified,1,L04-136-1u (L04P07),0.360636,7/23/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,3350,1.3125,NA,20% Or More Above Average Discharge,Clear,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,Graffiti,33.60845086,-117.6790109
Mission Viejo,Verified,1,L04-672-1,0.220338,7/23/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,64,3334,0.126,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,None,33.61223316,-117.6806499
Mission Viejo,Not-Found,1,L04-266-6 (L04P08),0.376212,7/23/2024,Major Fraction (>50%),Flowing,Unknown,Direct Connection,None,Not A Priority,NA,2634,0.512424,NA,20% Or More Above Average Discharge,Clear,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.60750733,-117.6685463
Mission Viejo,Verified,1,L03-693-1 (L03P11),0.116283,7/25/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,55,3032,0.1484,0.028,20% Or More Above Average Discharge,Yellow tint,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,1,NA,33.5977525,-117.6557232
Mission Viejo,Verified,1,L03-316-3 (L03P12),0.27494,7/25/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,77,4882,0.45,0.098,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,Yes,NA,1,Graffiti,33.59601712,-117.6558902
Mission Viejo,Verified,1,L03-662-3 (L03P16),0.164525,7/25/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,82,1922,0.2,0.04,20% Or More Above Average Discharge,Clear,Not present,Dry leaves/grass in runoff,Not Present (0 Items),NA,Yes,NA,NA,None,33.6246438,-117.6482387
Mission Viejo,Verified,1,L03-214-2 (L03P18),0.592284,7/25/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,NA,Priority,75,NA,0.518182,0.431,Below Average Discharge,Not present,Not present,NA,Abundant (>50 Items),In flow path of outfall,Yes,NA,1,NA,33.62371995,-117.642303
Mission Viejo,Verified,1,J01-9066-2 (J01P03),0.085018,8/15/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,64,2300,0.13,0.066,20% Or More Above Average Discharge,Clear,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,1,Graffiti,33.61058951,-117.6927562
Mission Viejo,Verified,1,J07-9022-6,0.001924,8/15/2024,Small Fraction (<10%),Flowing,Unknown,Direct Connection,None,NA,NA,NA,0.002667,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.62875416,-117.6662279
Mission Viejo,Verified,1,J01-9066-1 (J01P04),0.015364,8/15/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,Trash,Priority,41,2720,0.014504,0.002,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.60933566,-117.6928755
Mission Viejo,Verified,1,J07-9022-1,0.004128,8/15/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,Trash,Priority,41,NA,0.002,NA,Below Average Discharge,Not present,Not present,not enough flow for conductivity,Moderate (11-50 Items),Within area surrounding outfall,NA,NA,NA,None,33.62677607,-117.6747604
Mission Viejo,Verified,1,L03-172-2,0.017881,8/20/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,955,0.062069,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.65145331,-117.6388332
Mission Viejo,Verified,1,J07-9110-2,0.013448,8/20/2024,Small Fraction (<10%),Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Priority,45,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.63608386,-117.6622401
Mission Viejo,Verified,1,J07-9109-4 (J07P02),0.170884,8/20/2024,Minor Fraction (10 - 50%),Flowing,Yes,Partial - Significant Distance,None,Priority,54,1584,0.08,NA,Below Average Discharge,Not present,Odor,Dissipator pond had a large buildup of mud,Moderate (11-50 Items),Within area surrounding outfall,NA,Yes,NA,Graffiti,33.64644434,-117.6557853
Mission Viejo,Verified,1,L03-172-3,NA,8/20/2024,NA,Pooled or Ponded,Yes,Undetermined,None,NA,NA,NA,NA,NA,NA,Not present,Not present,"Very overgrown, inaccessible",Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.65148883,-117.6374948
Mission Viejo,Verified,1,J07-9109-2,0.05716,8/20/2024,NA,Pooled or Ponded,Yes,Direct Connection,None,Priority,23,NA,NA,NA,Below Average Discharge,Not present,"Brown ""tea"" tint",Looks like front of outfall has been pulled off by heavy flow,Not Present (0 Items),NA,NA,NA,NA,Damaged,33.6415684,-117.6576006
Mission Viejo,Verified,1,L03-074-2,0.029399,8/20/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,36,1153,0.013333,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.63946665,-117.6417514
Mission Viejo,Verified,1,L03-074-1 (L03B01),0.199451,8/20/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,Surfactants,Priority,71,3230,0.238154,0.018,Above Average Discharge,Not present,Clear,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,1,None,33.63831694,-117.6388327
Mission Viejo,Verified,1,J07-9110-3,0.010077,8/20/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,Looks to have been flowing recently but is now ponded,Not Present (0 Items),NA,NA,NA,NA,None,33.63961545,-117.6592639
Mission Viejo,Verified,1,L03-316-4,0.017486,8/20/2024,Small Fraction (<10%),Flowing,Yes,Partial - Significant Distance,None,Priority,43,NA,0.002143,NA,Below Average Discharge,Not present,Not present,not enough volume for conductivity,Not Present (0 Items),NA,NA,NA,NA,None,33.59615775,-117.6560681
Mission Viejo,Verified,1,L03-141-2,0.005866,8/22/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Graffiti,33.65656186,-117.6343822
Mission Viejo,Verified,1,L03-141-3,0.01245,8/22/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,57,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Graffiti,33.65655048,-117.6343664
Mission Viejo,Verified,1,L03-662-1,0.019535,8/22/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,2430,0.00414,0.004,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.61812287,-117.6501898
Mission Viejo,Verified,1,L03-240-1 (L03P14),0.026244,8/22/2024,Small Fraction (<10%),Flowing,Yes,Partial - Significant Distance,None,Priority,46,1637,0.0336,0.013,20% Or More Above Average Discharge,Green tint,Odor,Lots of mud,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,Graffiti,33.61518584,-117.637065
Mission Viejo,Verified,1,L04-266-1,0.00225,8/22/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.60525229,-117.6723842
Mission Viejo,Verified,1,L03-241-3,0.34292,8/22/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,2100,0.385714,NA,Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.60617429,-117.6478945
Mission Viejo,Verified,1,L03-241-4,0.012388,8/22/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,45,2000,0.021687,0.003,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.60922713,-117.6441002
Mission Viejo,Verified,1,L03-316-2,0.022959,8/22/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,34,2960,0.03,0.002,20% Or More Above Average Discharge,Not present,Not present,foam below outfall,Not Present (0 Items),NA,NA,NA,NA,None,33.5909262,-117.6594454
Mission Viejo,Verified,1,L03-141-1,0.069135,8/22/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,66,1822,0.039669,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Graffiti,33.65655234,-117.6343801
Mission Viejo,Verified,1,L03-316-1,0.034398,8/22/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,59,1945,0.006731,0.002,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Graffiti,33.59093014,-117.659656
