Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Dana Point,Verified,1,SC11-035-3d,0,2024-06-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,NA,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.45702672,-117.67110958
Dana Point,Verified,1,SC11-035-3d,0,2024-08-26,NA,Dry,Unknown,NA,NA,NA,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.45702672,-117.67110958
Dana Point,Verified,1,L01-727-2,0,2024-07-11,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,None,33.47418847,-117.67972205
Dana Point,Verified,1,L01-727-2,0,2024-09-03,Small Fraction (<10%),Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.47418847,-117.67972205
Dana Point,Verified,1,L01-727-2,0,2024-08-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Trash,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.47418847,-117.67972205
Dana Point,Verified,1,L01-726-3,0,2024-06-10,Small Fraction (<10%),Dry,Unknown,Direct Connection,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,NA,NA,NA,NA,NA,NA,33.47522473,-117.67880664
Dana Point,Verified,1,L01-726-3,0,2024-08-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.47522473,-117.67880664
Dana Point,Verified,1,L01-728-2,0.001976,2024-09-03,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.46469129,-117.68219306
Dana Point,Verified,1,L01-728-2,0.001976,2024-06-27,Small Fraction (<10%),Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,4160,4.57e-4,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.46469129,-117.68219306
Dana Point,Verified,1,L01-728-6,0,2024-09-03,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Drainage gate blocking.,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.46971004,-117.68088825
Dana Point,Verified,1,L01-728-6,0,2024-07-11,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.46971004,-117.68088825
Dana Point,Verified,1,M01-060-3,0.747703,2024-08-14,NA,Pooled or Ponded,Yes,NA,None,Not A Priority,NA,8000,0.451948,NA,Below Average Discharge,Not present,Not present,Flow measurements taken at scm1 due to pooling at diversion,Not Present (0 Items),NA,NA,NA,NA,None,33.44128408,-117.64499661
Dana Point,Verified,1,M01-060-3,0.747703,2024-06-26,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,10286,0.932143,NA,Below Average Discharge,Yellow tint,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,Graffiti,33.44128408,-117.64499661
Dana Point,Verified,1,M01-060-3,0.747703,2023-11-28,NA,Pooled or Ponded,Yes,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Sampling for CHWSRS Tier 4 upstream of ponding,Moderate (11-50 Items),Within area surrounding outfall,NA,NA,NA,NA,33.44128408,-117.64499661
Dana Point,Verified,1,SC11-026-1 (M00P01),0.092087,2024-08-26,Small Fraction (<10%),Flowing,Unknown,Direct Connection,None,Not A Priority,NA,7500,0.104478,0.035,Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.45391971,-117.66647206
Dana Point,Verified,1,SC11-026-1 (M00P01),0.092087,2024-06-27,Small Fraction (<10%),Flowing,Unknown,Partial - Significant Distance,NA,Not A Priority,NA,8265,0.07728,0.069,Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.45391971,-117.66647206
Dana Point,Verified,1,L01-728-8d,0,2024-06-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.46066252,-117.67736867
Dana Point,Verified,1,L01-728-8d,0,2024-08-26,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Outfall nearly buried under sand,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.46066252,-117.67736867
Dana Point,Verified,1,L01-727-1 (L01S04),0.129248,2024-06-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Graffiti,33.47115021,-117.68099957
Dana Point,Verified,1,L01-727-1 (L01S04),0.129248,2024-09-03,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,"Possible encampment (e.g. clothes, chair, food wrappers)",Moderate (11-50 Items),Within area surrounding outfall,NA,NA,NA,Graffiti,33.47115021,-117.68099957
Dana Point,Verified,1,L01-728-9,0,2024-06-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Sediment,33.47076783,-117.68108507
Dana Point,Verified,1,L01-728-9,0,2024-09-03,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Overgrown,33.47076783,-117.68108507
Dana Point,Verified,1,SC10-075-1d,0.009482,2024-08-26,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,NA,NA,8020,0.007288,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.4531274,-117.66535407
Dana Point,Verified,1,SC10-075-1d,0.009482,2024-06-27,NA,Flowing,Yes,Direct Connection,None,NA,NA,6740,0.012683,0.002,Below Average Discharge,Not present,Not present,1.25LTIN 20 SEC-VOLUMETRIC (0.002 cfs),Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.4531274,-117.66535407
Dana Point,Verified,1,K01-12159-2,0.146367,2024-06-12,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,62,5213,0.124771,0.059,Below Average Discharge,Not present,Not present,Yellow tinted water,Not Present (0 Items),NA,Yes,NA,NA,None,33.48244638,-117.72042004
Dana Point,Verified,1,K01-12159-2,0.146367,2024-08-06,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,62,7455,0.143077,0.098,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,Yes,NA,NA,Graffiti,33.48244638,-117.72042004
Dana Point,Verified,1,K01-12126-1 (K01S01),0.457496,2024-08-27,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,78,5380,0.382857,NA,Below Average Discharge,Not present,Not present,Yellow tinted water,Not Present (0 Items),NA,Yes,NA,1,Graffiti,33.4840291,-117.71986376
Dana Point,Verified,1,K01-12126-1 (K01S01),0.457496,2024-08-06,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,78,7556,0.58368,0.201,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,1,Graffiti,33.4840291,-117.71986376
Dana Point,Verified,1,SC11-035-1d,0,2024-06-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.45963579,-117.67566023
Dana Point,Verified,1,SC11-035-1d,0,2024-08-26,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Outfall buried under sand,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.45963579,-117.67566023
Dana Point,Verified,1,L01-726-2,0,2024-08-27,NA,Pooled or Ponded,Unknown,None - Flow Infiltrates or Outfall is Dry,Trash,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.474866660000004,-117.67950352
Dana Point,Verified,1,L01-726-2,0,2024-06-10,Small Fraction (<10%),Other - See Comments,Unknown,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Site observed to have recent and constant flow but algae accumulation made it impossible to determine actual flow status.,Not Present (0 Items),NA,NA,NA,NA,None,33.474866660000004,-117.67950352
Dana Point,Verified,1,L01-726-5,0.035118,2024-06-12,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,29,3953,0.164018,0.026,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,Yes,NA,NA,NA,33.4758191,-117.67930759
Dana Point,Verified,1,L01-726-5,0.035118,2024-08-06,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,29,5625,0.16,0,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,Yes,NA,NA,NA,33.4758191,-117.67930759
Dana Point,Verified,1,L01-728-3 (L01S02),0.415035,2024-09-03,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,8180,0.25872,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,1,Graffiti,33.46551766,-117.68212927
Dana Point,Verified,1,L01-728-3 (L01S02),0.415035,2024-06-27,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,9447,0.321179,NA,Below Average Discharge,"Brown ""tea"" tint",Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,1,Graffiti,33.46551766,-117.68212927
Dana Point,Verified,1,DP01-12022-1,0.055382,2024-09-03,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,NA,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Dirt build up blocking outfall. Some water coming out but unable to be certain.,Not Present (0 Items),NA,NA,NA,NA,Other - See Comments,33.46408018,-117.71477795
Dana Point,Verified,1,L01-728-5 (L01-DP),0.016801,2024-08-06,NA,Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Priority,22,2634,0.0025,0.001,Below Average Discharge,Not present,Not present,Abundant feathers inside outfall,Not Present (0 Items),NA,Yes,NA,NA,NA,33.46821933,-117.68221131
Dana Point,Verified,1,L01-728-5 (L01-DP),0.016801,2024-06-12,NA,Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Priority,22,2016,0.004364,0.002,Below Average Discharge,Surface scum,Not present,NA,NA,NA,Yes,NA,NA,NA,33.46821933,-117.68221131
Dana Point,Verified,2,L01-728-5 (L01-DP),0.016801,2023-12-20,NA,Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Priority,22,898,0.008151,NA,Below Average Discharge,Surface scum,Not present,Bacti collected,Moderate (11-50 Items),Within area surrounding outfall,Yes,NA,NA,NA,33.46821933,-117.68221131
Dana Point,Verified,2,L01-728-5 (L01-DP),0.016801,2023-12-21,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,22,1492,0.165,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,NA,None,33.46821933,-117.68221131
Dana Point,Verified,1,L01-728-5 (L01-DP),0.016801,2024-06-27,Small Fraction (<10%),Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,None,Priority,22,2735,0.011249,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,None,33.46821933,-117.68221131
Dana Point,Verified,1,K01-12159-3,0.023731,2024-06-12,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,43,4828,0.035398,0.046,20% Or More Above Average Discharge,Not present,Not present,Yellow tinted water,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,None,33.482589,-117.720386
Dana Point,Verified,1,K01-12159-3,0.023731,2024-08-06,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,43,6764,0.032234,0.019,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,NA,Graffiti,33.482589,-117.720386
Dana Point,Verified,1,L01-726-7,0,2024-06-10,Small Fraction (<10%),NA,Unknown,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,NA,NA,NA,NA,NA,None,33.47686102,-117.67844198
Dana Point,Verified,1,DP01-12020-1,0,2024-07-10,Small Fraction (<10%),Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,NA,NA,NA,NA,NA,Equal,Not present,Not present,grate is falling off and rusted,Sparse (<10 Items),NA,NA,NA,NA,Damaged,33.46919063,-117.71788335
Dana Point,Verified,1,SC11-035-2d,0,2024-06-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,NA,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.45862582,-117.67398297
Dana Point,Verified,1,SC11-035-2d,0,2024-08-26,NA,Dry,Unknown,NA,NA,NA,NA,NA,NA,NA,Equal,Not present,Not present,Outfall completely buried,Sparse (<10 Items),NA,NA,NA,NA,NA,33.45862582,-117.67398297
